doc_id,expectation,g1_text,g2_text
24604418,1,JAK2,STAT3
24518141,1,CCR7,CCL19
24518141,1,CCL19,CCR7
24517390,0.887,ACAT1,ACAT2
24517390,1,ACAT2,ACAT1
24508858,1,TNF,FAS
24485247,0.999,ALOX5AP,PDE4D
24472415,1,TLR4,IRAK1
24462138,0.903,IL8,CXCR1
24453429,0.948,S100A8,S100A9
24453429,0.957,S100A8,S100A9
24453429,0.933,S100A8,S100A9
24451003,1,TXN,TXNIP
24423340,0.866,ABCG5,ABCG8
24423365,0.996,APOB,LIPC
24423365,0.988,FRMD5,LIPC
24423365,0.915,GPAM,LIPC
24423365,0.998,APOA1,APOB
24423365,0.991,ABCA1,APOA1
24401788,0.999,EGF,EGFR
24389598,1,S100A8,S100A9
24389598,0.991,S100A9,S100A8
24388253,0.998,CD4,CCR5
24388253,1,CD19,CCR5
24378567,0.995,WAS,FH
24378567,0.979,USF2,WAS
24378567,0.989,USF2,TF
24378567,1,WAS,TF
24376657,0.959,TLR4,SYK
24376657,0.982,SYK,TLR4
24376657,0.91,TLR4,SYK
24374972,1,CXCR4,CXCL12
25775905,0.926,APOB,PCSK9
25775905,0.901,APOB,PCSK9
24366867,1,XBP1,ATF6
24324141,1,NOD2,TNF
24315498,0.997,NQO1,CAD
24252657,0.994,ABCG8,ABCG5
24252657,0.934,ABCG8,ABCG5
24252657,0.985,ABCG5,ABCG8
24118494,1,CCR5,CCL5
24114205,1,CCR6,CCL20
24107076,1,IL33,IL1RL1
24090198,1,CCL5,CCR5
24090198,1,CCL5,CCR3
24090198,0.992,CCL5,CCR3
24090198,0.999,CCL5,CCR1
24090198,0.996,CCL5,CCR1
24077167,0.886,MYOCD,SRF
24077167,0.876,MYOCD,SRF
24051141,0.999,PROC,PROCR
24051141,1,PROCR,PROC
24051141,1,PROCR,PROC
24007717,1,APOA1,SCARB1
24007717,0.975,APOA1,ABCA1
24007717,0.992,SCARB1,APOA1
24007717,0.958,ABCA1,APOA1
24007717,0.985,ABCA1,APOA1
24007717,0.984,ABCA1,SCARB1
24007717,0.988,APOA1,SCARB1
24007717,1,ABCA1,APOA1
24002940,1,SIRT1,PARP1
23979132,0.97,HAS3,HAS2
23973527,1,CXCL12,CXCR4
23973527,1,CXCL12,CXCR7
23973527,1,CXCL12,CXCR4
23958259,0.951,CD80,CD86
23908111,0.996,PON1,MPO
23898049,0.865,MTTP,PDIA2
23880187,0.907,TLR2,TLR4
23880187,1,TLR2,CD14
23880187,1,CD14,TLR2
23801458,1,PRDX1,PRDX4
23801458,1,PRDX1,PRDX4
23801458,1,PRDX2,PRDX4
23801458,0.992,PRDX1,PRDX2
23801458,0.999,PRDX1,PRDX2
23801458,1,PRDX1,PRDX2
23801458,0.95,PRDX1,PRDX2
23801458,0.998,PRDX4,PRDX1
23801458,0.993,PRDX1,PRDX4
23720662,0.987,CXCR2,MIF
23720662,1,MIF,CXCR4
23659629,0.986,CCR5,CXCR4
23573259,1,TLR2,CD14
23457721,0.999,S100A8,S100A9
23497784,0.969,S100A8,S100A9
23417110,0.979,B2M,HLA-B
23395392,0.993,CD9,CD81
23395392,0.994,CD36,CD9
23244543,0.91,ABCG8,ABCG5
23206693,1,NLRP3,MEFV
23163821,0.996,FOS,JUNB
23163821,0.993,FOS,JUN
23163821,0.978,FOSB,JUN
23163821,0.995,FOS,FOSB
23163821,0.99,JUN,FOS
23163821,0.979,JUN,FOS
23163821,0.992,JUN,FOS
23163821,0.991,FOS,JUN
23083681,1,ADA,DPP4
23025809,0.913,ABCG5,ABCG8
22955445,1,IARS,CAD
22902067,0.98,CCL19,CCR7
22896670,0.999,RXRA,ANGPTL3
22896670,0.998,ANGPTL3,RXRA
22835628,0.998,LTA,LTB
22835628,0.975,LTA,LTB
22822027,0.999,TLR2,TLR1
22815945,0.951,CX3CL1,CX3CR1
22815945,1,CX3CL1,CX3CR1
22815945,1,CCL5,CCR5
22815945,0.995,CCL2,CCL5
22815945,1,CX3CR1,CX3CL1
22815945,1,CX3CR1,CX3CL1
22815945,0.99,CX3CR1,CX3CL1
22815945,0.988,CCL5,CCR5
22815945,0.999,CCL2,CCL5
22815945,1,CX3CR1,CX3CL1
22776094,1,TLR4,SYK
22776094,0.997,SYK,TLR4
22776094,1,SYK,TLR4
22776094,1,SYK,TLR4
22776094,1,SYK,TLR4
22763266,0.992,CXCR3,PF4
22763266,0.999,CX3CR1,CX3CL1
22752444,0.863,CCL5,CCR1
22731642,0.979,CAD,CX3CR1
22711477,0.988,CD44,STAT3
22706276,0.889,CDKN2A,CDKN2B
22703881,0.915,F11,KNG1
22701019,0.978,KNG1,F11
22701019,1,F11,KNG1
22685397,0.953,RIPK1,TNF
